"Title","Author","indivauthor","Publication","Type","Year"
"Strength in numbers not NHL way","Feschuk, Dave","Y","Toronto Star","News",2014
"Neilson came up with best statistics to analyze hockey","Staples, David","Y","Edmonton Journal","News",2013
"NHL site is tailor-made for all hockey geeks; SAP-developed platform on NHL website offers 'enhanced statistics'","Stinson, Scott","Y","The Ottawa Citizen","News",2015
"Canucks go to the video to bolster analytics team; Media personality's analysis of hockey's top prospects popular with team's fans","Johnston, Patrick","Y","The Vancouver Sun","News",2019
"Statistics are for losers","Radley, Scott","Y","The Spectator","News",2011
"'Maddening' statistic ; Maple Leafs join a not-so-elite group as one of worst penalty-killing teams","Simmons, Steve","Y","The Toronto Sun","News",2010
"Stats geeks rejoice; Hockey statistics are becoming more and more detailed thanks to those who want more than just goals and assists, writes David Staples.","Staples, David","Y","The Ottawa Citizen","News",2010
"Statistics do some fibbing; The pro-rating explainer; OILERS: FOUR YEARS OF FUTILITY, CRUNCHING NUMBERS","Spector, Mark","Y","Edmonton Journal","News",1996
"Heart not measured in numbers: Statistics don't tell the whole story for NHL hopefuls","Taylor, Jim","Y","Times - Colonist","News",2000
"Leafs' whiz a student of hockey analytics","McGran, Kevin","Y","Toronto Star","News",2014
"Leafs promote 'analytics guy' Kyle Dubas to general manager","Bruce Arthur","Y","Waterloo Region Record","News",2018
"SMITH SMITH'S INFORMATION SYSTEM AIMS TO BRING NHL INTO COMPUTER AGE","Scilley, Claude","Y","The Whig - Standard","News",1986
"MLSE boss questions value of hockey analytics","Hornby, Lance","Y","Observer","News",2014
"Passing The Grade; New metric tracks top shot facilitators","Matisz, John","Y","The Province","News",2016
"The art of hockey analytics","Tait, Ed","Y","Winnipeg Free Press (Online)","News",2014
"Hockey analytics trend finds it's way to Jr. C","Mathias, Evan","Y","Lakeshore News","News",2017
"Donskov hiring shows Hockey Canada committed to analytics","Whyno, Stephen","Y","Telegraph-Journal","News",2014
"Hockey analytics conference set to 'expand the conversation' on advanced stats","Clipperton, Joshua","Y","Telegram","News",2016
"Analytics are changing NHL coaching","Hickey, Pat","Y","Montreal Gazette","News",2014
"The Devil - and on-ice success - in details, analytics","John Cudmore","Y","Era - Banner","News",2018
"As analytics become prevalent, advanced hockey stats evolving","Whyno, Stephen","Y","Telegraph-Journal","News",2014
"Not all NHLers ready to embrace analytics","Hickey, Pat","Y","Star - Phoenix","News",2014
"Padd-ed statistics","Wyman, Ted","Y","The Winnipeg Sun","News",2017
"Value of hockey analytics under debate","Duff, Bob","Y","The Windsor Star","News",2014
"Hockey analytics firm leaving Guelph, unveiling new system","Pender, Terry","Y","The Guelph Mercury","News",2015
"Numbers game ; Advanced hockey statistics may be all the rage these days, but they don't even come close to telling the whole story of what happened on the ice","Simmons, Steve","Y","The Ottawa Sun","News",2014
"Hockey 'in the dark ages' on analytics; Numbers Game","Clipperton, Joshua","Y","The Province","News",2016
"Hockey analytics still an uphill climb; SFU professor laments the game remains in the data 'dark ages'","Clipperton, Joshua","Y","The Vancouver Sun","News",2016
"Numbers game in Devils' favour, but series isn't: Toronto finds ways to win: With series tied 2-2, Leafs take a day off to ignore statistics","Burnside, Scott","Y","National Post","News",2000
"Scheifele, Dubois play hockey, not analytics, they say","Hamilton, Jeff","Y","Winnipeg Free Press (Online)","News",2021
"Not all ready to embrace NHL analytics","Hickey, Pat","Y","Leader Post","News",2014
"Questioning analytics; Doubts value of new stats","Hickey, Pat","Y","The Windsor Star","News",2014
