"Title","Author","indivauthor","Publication","Type","Year"
"POP is the Key to Penguins’ Success - The Hockey Writers","Mike Colligan","Y","The Hockey Writers","Website",2013
"“Analytics Play a Role in Helping you make Decisions” – Mike Gillis - Canucks Army","Thomas Drance","Y","Canucks Army","Blog",2013
"Why you should care about analytics - The Province","Cam Charron","Y","The Province","Website",2013
"Northern Ontario man creates hockey version of 'Moneyball' - CBC","CBC News","N","CBC","News",2013
"Just how ""horse shit"" is the NHL's official plus-minus stat? - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2013
"Proposal: Let’s Ditch Plus-Minus …and Introducing Ice Tilt! - RMNB","Peter Hassett","Y","RMNB","Blog",2012
"Physical play and hits: Why 'hits' is the worst statistic in hockey - CBS Sports","Adam Gretz; Min Read; Austin Nivison; Cody Benjamin; Chris Peters","Y","CBS Sports","News",2013
"Plus/Minus: The Laziest Stat in Hockey? - The Hockey Writers","Meesh Shanmugam","Y","The Hockey Writers","Website",2013
"What We Learned: Elegy for Joffrey Lupul’s views on advanced hockey stats - Yahoo Sports","Greg Wyshynski","Y","Yahoo Sports","Blog",2013
"Introducing the Shot Quality Project - Sportsnet.ca","Chris Boyle","Y","Sportsnet.ca","Website",2013
"Fancystats quietly leading NHL teams to dump the dump-and-chase strategy - Sports Illustrated","Sam Page","Y","Sports Illustrated","Website",2014
"Moneypuck: New tools for scouting with Gus Katsaros - FOX Sports","Fox Sports","N","FOX Sports","News",2014
"How NHL scoring rates change with age - SB Nation","Eric Tulsky; Adam Gretz","Y","SB Nation","Blog",2014
"What’s a Fenwick? - Octopus Thrower","Ari Zucker","Y","Octopus Thrower","Blog",2014
"When NHL players peak: Hockey metrics - CBC","Daniel Schwartz","Y","CBC","News",2014
"New Jersey Devils hire one-time Edmonton Oilers blogger as new Director of Analytics - Edmonton Journal","Jonathan Willis","Y","Edmonton Journal","News",2014
"Kyle Dubas hiring a victory for hockey analytics - CBC","Mihira Lakshman","Y","CBC","News",2014
"Maple Leafs shake up front office, hire stats guru Kyle Dubas, 28, as assistant GM - Toronto Star","Kevin McGran","Y","Toronto Star","News",2014
"The value of the first goal - SB Nation","Eric Tulsky","Y","SB Nation","Blog",2013
"Advanced Stats Crash Course: Possession (Part 1) - Flames Nation","Kent Wilson","Y","Flames Nation","Blog",2013
"Aaron Clauset: How big data reveals that basketball, football, and hockey are all the same game. - Slate Magazine","Joel Warner","Y","Slate Magazine","Website",2014
"Game-Winning Goals: Do They Matter as a Statistic? - The Hockey Writers","Meesh Shanmugam","Y","The Hockey Writers","Website",2014
"Blues hire stats man Corsi as new goalie coach - Sportsnet.ca","Mike Johnston","Y","Sportsnet.ca","Website",2014
"An Introduction To Advanced Hockey Statistics - Broad Street Buzz","Brendan Canney","Y","Broad Street Buzz","Blog",2014
"Corsi: An Overrated Statistic - The Hockey Writers","Andrew Wilson","Y","The Hockey Writers","Website",2014
"Maple Leafs hiring ExtraSkater.com founder, creating analytics department - Yahoo Sports","Ian McLaren","Y","Yahoo Sports","Blog",2014
"Capitals' Joel Ward: 'The game is evolving every day and (analytics) are definitely going to be part of it' - theScore","Thomas Drance","Y","theScore","Website",2014
"Stats, analytics are Jim Corsi’s hockey legacy - Toronto Star","Kevin McGran","Y","Toronto Star","News",2014
"""Money Puck"" comes to Edmonton, as Oilers hire analytics pioneer Tyler Dellow - Edmonton Journal","Bruce McCurdy","Y","Edmonton Journal","News",2014
"Leafs to hire bloggers for new analytics unit - Sportsnet.ca","Mike Johnston","Y","Sportsnet.ca","Website",2014
"Advanced stats vs. the old guard: inside the bitter rivalry - The Hockey News","Matt Larkin","Y","The Hockey News","Website",2014
"Edmonton Oilers: Who is Tyler Dellow? - The Hockey Writers","Carl Maloney","Y","The Hockey Writers","Website",2014
"Oilers hiring move deepens league’s interest in analytics - The Globe and Mail","James Mirtle","Y","The Globe and Mail","News",2014
"Gordon: The nerdification of hockey will bring much-needed accountability - Ottawa Citizen","James Gordon","Y","Ottawa Citizen","News",2014
"NHL Advanced Stats: Why I trust Corsi over Neilson Numbers - Edmonton Journal","Jonathan Willis","Y","Edmonton Journal","News",2014
"Pierre McGuire would fire coaches that rely on analytics for player review - Yahoo Sports","Greg Wyshynski","Y","Yahoo Sports","Blog",2014
"TSN Hockey Analytics writer Travis Yost breaks down explosion of advanced stats - TSN","Rob Duffy","Y","TSN","Website",2014
"How analytics are changing NHL coaching - ESPN","Craig Custance","Y","ESPN","Blog",2014
"Dan Kerluke skates his sports analytics startup into NHL territory - Mainebiz","Mainebiz Staff","N","Mainebiz","News",2014
"Caps Hire Analytics Pioneer Tim Barnes, aka Vic Ferrari - RMNB","Peter Hassett","Y","RMNB","Blog",2014
"Capitals hire Corsi creator Tim Barnes as analytics consultant - theScore","Josh Gold-Smith","Y","theScore","Website",2014
"Why Score Effects are the key to your fancy stats (Puck Momalytics) - Yahoo Sports","Jen Lute Costella","Y","Yahoo Sports","Blog",2014
"Wilson: Don’t know Corsi? Here’s a handy-dandy primer to NHL advanced stats - Calgary Herald","Kent Wilson","Y","Calgary Herald","News",2014
"Panthers captain Willie Mitchell thinks advanced stats are a fad - theScore","Thomas Drance","Y","theScore","Website",2014
"Toronto Maple Leafs Partner with Analytics Leader SAS - PR Newswire Canada","SAS Canada","N","PR Newswire Canada","News",2014
"In the NHL, save percentage is a team stat - Sportsnet.ca","Chris Boyle","Y","Sportsnet.ca","Website",2014
"NHL's tracking technology will change advanced statistics - Courier-Post","Dave Isaac","Y","Courier-Post","News",2015
"Flyers putting hockey analytics to good use - The Morning Call","Wayne Fish","Y","The Morning Call","Website",2015
"Analytics still a hard sell in the NHL - ESPN","Craig Custance","Y","ESPN","Website",2015
"What’s the next dimension of analytics? Former NHL goalie Steve Valiquette knows - The Hockey News","Ken Campbell","Y","The Hockey News","Website",2015
"Analytics give Blackhawks an edge - ESPN","Craig Custance","Y","ESPN","Website",2015
"NHL.com rolls out 'enhanced stats' - ESPN","Katie Strang","Y","ESPN","Website",2015
"What Are Detroit’s Best Puck Possession Line Combinations? - The Hockey Writers","Prashanth Iyer","Y","The Hockey Writers","Website",2015
"If the name's Fenwick, then it's offensive-zone time, according to advanced stats -- and the NHL - Edmonton Sun","Aaron Taylor","Y","Edmonton Sun","News",2015
"NHL seeks to grab fans with data analytics - cio.com","Thor Olavsrud","Y","cio.com","Website",2015
"Six keys to sports analytics - MIT News","Peter Dizikes","Y","MIT News","Website",2015
"Mirtle: Dubas reveals Leafs’ mindset on analytics at Sloan - The Globe and Mail","James Mirtle","Y","The Globe and Mail","News",2015
"Valiquette helping bring analytics to goaltending - Trentonian","Mike Ashmore","Y","Trentonian","Website",2015
"Ovechkin not to blame for poor plus-minus - Sportsnet.ca","Chris Boyle","Y","Sportsnet.ca","Website",2015
"The secret life and death of a hockey analytics pioneer - ESPN","Marin Cogan","Y","ESPN","Website",2015
"Game-changing hockey analytics company connects with Waterloo Warriors - University of Waterloo","Dan Ackerman","Y","University of Waterloo","Website",2015
"Coyotes hire 25-year-old analytics wiz John Chayka as assistant GM - Yahoo Sports","Greg Wyshynski","Y","Yahoo Sports","Blog",2015
"Which game statistically is most important in an NHL series? - FOX Sports","Fox Sports","N","FOX Sports","News",2015
"Hockey analysts still racing to catch up to other sports’ stat mavens - Chicago Tribune","Philip Hersh","Y","Chicago Tribune","News",2015
"What analytics say about how good the 2015 NHL Draft crop will be - Sports Illustrated","SI Staff","N","Sports Illustrated","Website",2015
"Edmonton Oilers retain analytics consultant Tyler Dellow in an adjusted role - Edmonton Journal","Jonathan Willis","Y","Edmonton Journal","News",2015
"Penguins bring in analytics expert from Carnegie Mellon - TribLIVE.com","Jason Mackey","Y","TribLIVE.com","Website",2015
"Explaining Advanced Stats: Corsi Stats - Stars and Sticks","Dave Stevenson","Y","Stars and Sticks","Blog",2014
"Eye Test: How can Shea Weber's stats be this bad? - Sports Illustrated","Sam Page","Y","Sports Illustrated","Website",2014
"How safe are those NHL points when leading into third period? - Yahoo Sports","Greg Wyshynski","Y","Yahoo Sports","Blog",2015
"Hockey 201: What the Heck is Corsi? - The Hockey Writers","Kenneth Laws","Y","The Hockey Writers","Website",2015
"NHL experimenting with tracking technology - CBC","The Associated Press","N","CBC","News",2015
"Penguins’ Crosby believes stats are overanalyzed - Sportsnet.ca","Canadian Press","N","Sportsnet.ca","Website",2015
"Numbers don't lie: The 2015 Stanley Cup is the Chicago Blackhawks' to lose - ESPN","Ben Arledge","Y","ESPN","Website",2015
"Hurricanes hire former chemist, hockey blogger for analytics post - CBS Sports","Chris Peters; Austin Nivison; Cody Benjamin","Y","CBS Sports","News",2015
"Examining the Groundbreaking Work of the NHL's Latest Analytics Hire - Bleacher Report","Jonathan Willis","Y","Bleacher Report","Website",2015
"Hurricanes hire Eric Tulsky as hockey analyst - WRAL","WRAL News","N","WRAL","News",2015
"Hurricanes Hire Eric Tulsky As Stat Analyst - Canes Country","Bob Wage","Y","Canes Country","Blog",2015
"Devils Go All In on Use of Analytics (a Poker Expert Helps) (Published 2015) - The New York Times","Pat Pickens","Y","The New York Times","News",2015
"Paul Bissonnette rejects advanced stats and its usage in contract negotiations - theScore","Justin Cuthbert","Y","theScore","Website",2015
"Paul Bissonnette talks persona, anxiety, and analytics - Sportsnet.ca","Scott Lewis","Y","Sportsnet.ca","Website",2015
"What’s behind Patrick Roy’s obsession with advanced hockey stats? - Cantech Letter","Nick Waddell","Y","Cantech Letter","Website",2015
"Why Has Analytics Darling Alexander Semin Flunked out of the NHL? - Bleacher Report","Jonathan Willis","Y","Bleacher Report","Website",2015
"The difficulty of evaluating NHL defencemen through numbers - Sportsnet.ca","Jonathan Willis","Y","Sportsnet.ca","Website",2015
"Oilers power forward Taylor Hall the darling of the analytics crowd - Windsor Star","Jim Matheson","Y","Windsor Star","News",2015
"NHL Advanced Statistics: Stats for Art Majors - Defending Big D","Ann Atkinson","Y","Defending Big D","Blog",2016
"What analytics can tell us about the role of fighting in hockey - Sports Illustrated","Department of Hockey Analytics","N","Sports Illustrated","Website",2016
"The X factors in NHL analytics - Sports Illustrated","Department of Hockey Analytics","N","Sports Illustrated","Website",2016
"Stats that Translate into NHL Playoffs Wins - Broad Street Buzz","Marc Naples","Y","Broad Street Buzz","Blog",2016
"Coyotes' Splashy Hire of 26-Year-Old GM Will Be Referendum on Analytics in NHL - Bleacher Report","Adrian Dater","Y","Bleacher Report","Website",2016
"NHL Team to Hire a 26-Year-Old Stats Junkie As General Manager - New York Magazine","Benjamin Wallace-Wells","Y","New York Magazine","News",2016
"Phoenix Coyotes' new GM is reportedly a 26-year-old 'analytics guru' who co-founded a hockey statistics firm - Business Insider","Cork Gaines","Y","Business Insider","News",2016
"Brock sport analytics prof says data use in NHL good for students – The Brock News - Brock University","Dan Dakin","Y","Brock University","Website",2016
"Cult of Hockey: Inside the Moneypuck methods of new Arizona GM John Chayka - Edmonton Journal","David Staples","Y","Edmonton Journal","News",2016
"John Chayka will use more than just numbers to try to turn the Coyotes into Cup contenders - The Hockey News","Ken Campbell","Y","The Hockey News","Website",2016
"Oilers Part Ways With Analytics Guru, Tyler Dellow - Oilers Nation","Chris the intern","N","Oilers Nation","Blog",2016
"Penn State women’s hockey struggled statistically against Mercyhurst - The Daily Collegian","Andrew Rubin; Davon Clark","Y","The Daily Collegian","Website",2015
"Cult of Hockey: Statistical breakdown of pending UFA Steven Stamkos - Edmonton Journal","Jonathan Willis","Y","Edmonton Journal","News",2016
